X,Y,SiltySand_top
-121.9511702,47.96725452,456.1
-121.9517125,47.96679113,452.7
-121.9491983,47.96612749,458.1
-121.9521421,47.96713148,457
-121.9521285,47.96792462,459.3
-121.9521525,47.96862851,467.9
-121.9497326,47.96776749,456.5
-121.9496185,47.96698504,457.8
-121.9480929,47.96560189,449.9
-121.9490739,47.96382628,434.2
-121.947789,47.96312529,437.1
-121.9466699,47.96243487,437.5
-121.9454714,47.96403878,417
-121.9444985,47.96403171,421.8
-121.9445461,47.9633524,407.6
-121.9449464,47.96198632,402.1
-121.949828,47.9622568,494.1
-121.9454583,47.96004719,398.2
-121.9430159,47.96404364,424.9
-121.9434948,47.96341927,48.2
-121.9436466,47.9619779,495.6
