X,Y,Z
577020,5313740,97.8
577030,5313740,97.6
577040,5313740,97.6
577050,5313740,97.6
577060,5313740,97.5
577070,5313740,97.5
577080,5313740,97.5
577090,5313740,97.5
577100,5313740,97.5
577110,5313740,97.5
577120,5313740,97.4
577130,5313740,97.2
577140,5313740,97.2
577150,5313740,97.2
577160,5313740,97.2
577170,5313740,97.1
577180,5313740,97.2
577190,5313740,97.3
577200,5313740,97.4
577210,5313740,97.4
577220,5313740,97.5
577230,5313740,97.8
577240,5313740,98.1
577250,5313740,98.5
577260,5313740,99
577270,5313740,99.7
577280,5313740,100.5
577290,5313740,101.2
577300,5313740,101.6
577310,5313740,102.1
577320,5313740,102.6
577330,5313740,103.1
577340,5313740,103.6
577350,5313740,105
577360,5313740,106.7
577370,5313740,108.3
577380,5313740,109.8
577390,5313740,111.3
577400,5313740,112.8
577410,5313740,114.3
577420,5313740,115.5
577430,5313740,116.9
577440,5313740,118.5
577450,5313740,120.3
577460,5313740,121.9
577470,5313740,123.2
577480,5313740,124.4
577490,5313740,125.8
577500,5313740,127.2
577510,5313740,128.9
577520,5313740,130.8
577530,5313740,132.5
577540,5313740,133.9
577550,5313740,134.8
577560,5313740,135.7
577570,5313740,136.8
577580,5313740,138.4
577590,5313740,140.1
577600,5313740,143
577610,5313740,146.1
577620,5313740,148.1
577630,5313740,150
577640,5313740,151.9
577650,5313740,153.7
577660,5313740,155.5
577670,5313740,157.2
577680,5313740,158.6
577690,5313740,159.3
577700,5313740,160.1
577710,5313740,160.9
577720,5313740,161.7
577730,5313740,162.5
577740,5313740,163.2
577750,5313740,163.9
577760,5313740,164.6
577770,5313740,165
577780,5313740,165.3
577790,5313740,165.7
577800,5313740,166
577810,5313740,166.4
577820,5313740,166.7
577830,5313740,167.1
577840,5313740,167.5
577850,5313740,168
577860,5313740,168.4
577870,5313740,168.9
577880,5313740,169.3
577890,5313740,169.8
577900,5313740,170.3
577910,5313740,170.9
577920,5313740,171.9
577930,5313740,172.8
577940,5313740,173.8
577950,5313740,174.8
577960,5313740,175.8
577970,5313740,176.7
577980,5313740,177.5
577990,5313740,178.4
578000,5313740,179.2
578010,5313740,180.2
578020,5313740,181.1
578030,5313740,182
578040,5313740,183
578050,5313740,184
578060,5313740,185.1
578070,5313740,186.1
578080,5313740,187.1
578090,5313740,187.9
578100,5313740,188.8
578110,5313740,189.3
578120,5313740,189.6
578130,5313740,190
578140,5313740,190.4
578150,5313740,190.8
578160,5313740,191.2
578170,5313740,191.5
578180,5313740,191.9
578190,5313740,192.1
578200,5313740,192.5
578210,5313740,192.9
578220,5313740,193.3
578230,5313740,193.6
578240,5313740,194
578250,5313740,194.3
578260,5313740,194.7
578270,5313740,195.1
578280,5313740,195.3
578290,5313740,195.6
578300,5313740,196
578310,5313740,196.3
578320,5313740,196.6
578330,5313740,196.9
578340,5313740,197.2
578350,5313740,197.3
578360,5313740,197.1
578370,5313740,197
578380,5313740,196.8
578390,5313740,196.5
578400,5313740,196.2
578410,5313740,195.9
578420,5313740,195.6
578430,5313740,195.3
578440,5313740,194.9
578450,5313740,194.3
578460,5313740,194.6
578470,5313740,195.6
