X,Y,
576925.4901,5313019.366,
576925.6805,5313019.604,
576925.8709,5313019.842,
576926.0613,5313020.08,
576926.2517,5313020.318,
576926.4421,5313020.556,
576926.6325,5313020.794,
576926.823,5313021.032,
576927.0134,5313021.27,
576927.2038,5313021.508,
576927.3942,5313021.746,
576927.5846,5313021.984,
576927.775,5313022.222,
576927.9654,5313022.46,
576928.1558,5313022.698,
576928.3462,5313022.936,
576928.5366,5313023.174,
576928.727,5313023.412,
576928.9174,5313023.65,
576929.1078,5313023.888,
576929.2982,5313024.126,
576929.4887,5313024.364,
576929.6791,5313024.602,
576929.8695,5313024.84,
576930.0599,5313025.078,
576930.2503,5313025.316,
576930.4407,5313025.554,
576930.6311,5313025.792,
576930.8215,5313026.03,
576931.0119,5313026.268,
576931.2023,5313026.506,
576931.3927,5313026.744,
576931.5831,5313026.982,
576931.7735,5313027.22,
576931.964,5313027.458,
576932.1544,5313027.696,
576932.3448,5313027.934,
576932.5352,5313028.172,
576932.7256,5313028.41,
576932.916,5313028.648,
576933.1064,5313028.886,
576933.2968,5313029.124,
576933.4872,5313029.362,
576933.6776,5313029.6,
576933.868,5313029.838,
576934.0584,5313030.076,
576934.2488,5313030.314,
576934.4392,5313030.552,
576934.6297,5313030.79,
576934.8201,5313031.028,
576935.0105,5313031.266,
576935.2009,5313031.504,
576935.3913,5313031.742,
576935.5817,5313031.98,
576935.7721,5313032.218,
576935.9625,5313032.456,
576936.1529,5313032.694,
576936.3433,5313032.932,
576936.5337,5313033.17,
576936.7241,5313033.408,
576936.9145,5313033.646,
576937.105,5313033.884,
576937.2954,5313034.122,
576937.4858,5313034.36,
576937.6762,5313034.598,
576937.8666,5313034.836,
576938.057,5313035.074,
576938.2474,5313035.312,
576938.4378,5313035.55,
576938.6282,5313035.788,
576938.8186,5313036.027,
576939.009,5313036.265,
576939.1994,5313036.503,
576939.3898,5313036.741,
576939.5802,5313036.979,
576939.7707,5313037.217,
576939.9611,5313037.455,
576940.1515,5313037.693,
576940.3419,5313037.931,
576940.5323,5313038.169,
576940.7227,5313038.407,
576940.9131,5313038.645,
576941.1035,5313038.883,
576941.2939,5313039.121,
576941.4843,5313039.359,
576941.6747,5313039.597,
576941.8651,5313039.835,
576942.0555,5313040.073,
576942.246,5313040.311,
576942.4364,5313040.549,
576942.6268,5313040.787,
576942.8172,5313041.025,
576943.0076,5313041.263,
576943.198,5313041.501,
576943.3884,5313041.739,
576943.5788,5313041.977,
576943.7692,5313042.215,
576943.9596,5313042.453,
576944.15,5313042.691,
576944.3404,5313042.929,
576944.5308,5313043.167,
576944.7212,5313043.405,
576944.9117,5313043.643,
576945.1021,5313043.881,
576945.2925,5313044.119,
576945.4829,5313044.357,
576945.6733,5313044.595,
576945.8637,5313044.833,
576946.0541,5313045.071,
576946.2445,5313045.309,
576946.4349,5313045.547,
576946.6253,5313045.785,
576946.8157,5313046.023,
576947.0061,5313046.261,
576947.1965,5313046.499,
576947.387,5313046.737,
576947.5774,5313046.975,
576947.7678,5313047.213,
576947.9582,5313047.451,
576948.1486,5313047.689,
576948.339,5313047.927,
576948.5294,5313048.165,
576948.7198,5313048.403,
576948.9102,5313048.641,
576949.1006,5313048.879,
576949.291,5313049.117,
576949.4814,5313049.355,
576949.6718,5313049.593,
576949.8623,5313049.831,
576950.0527,5313050.069,
576950.2431,5313050.307,
576950.4335,5313050.545,
576950.6239,5313050.783,
576950.8143,5313051.021,
576951.0047,5313051.259,
576951.1951,5313051.497,
576951.3855,5313051.735,
576951.5759,5313051.973,
576951.7663,5313052.211,
576951.9567,5313052.449,
576952.1471,5313052.687,
576952.3375,5313052.925,
576952.528,5313053.163,
576952.7184,5313053.401,
576952.9088,5313053.639,
576953.0992,5313053.877,
576953.2896,5313054.115,
576953.48,5313054.353,
576953.6704,5313054.591,
576953.8608,5313054.829,
576954.0512,5313055.067,
576954.2416,5313055.305,
576954.432,5313055.543,
576954.6224,5313055.781,
