X,Y,Z
-121.9511702,47.96725452,445.6
-121.9517125,47.96679113,442.2
-121.9491983,47.96612749,448.6
-121.9521421,47.96713148,446.5
-121.9521285,47.96792462,448.8
-121.9521525,47.96862851,460.4
-121.9511551,47.96821346,447.1
-121.9497326,47.96776749,447
-121.9496185,47.96698504,449.8
-121.9480929,47.96560189,443.4
-121.9490739,47.96382628,428.7
-121.947789,47.96312529,429.6
-121.9466699,47.96243487,432
-121.9454714,47.96403878,409.5
-121.9444985,47.96403171,414.3
-121.9445461,47.9633524,401.1
-121.9449464,47.96198632,395.6
-121.949828,47.9622568,489.6
-121.9454583,47.96004719,389.7
-121.9430159,47.96404364,417.4
-121.9434948,47.96341927,411.7
-121.9436466,47.9619779,491.6
