X,Y,Z
578382.74,5312994.57,139.0124962
578342.96,5312942.52,137.9762268
578531.63,5312871.31,139.6220664
578310.38,5312979.91,139.2868028
578310.2,5313068.07,139.9878086
578307.34,5313146.28,142.6089607
578489.26,5313053.04,139.1344102
578498.97,5312966.19,139.5306309
578614.94,5312814.02,137.1228284
578544.4,5312615.67,132.3377019
578641.38,5312539.07,133.2215788
578725.96,5312463.47,133.3434928
578812.99,5312642.96,127.0953977
578885.63,5312643.16,128.5583664
578883.11,5312567.62,124.2304176
578855.3,5312415.38,122.5540994
578490.48,5312440.47,150.594331
578820.03,5312199.33,121.3654374
578996.28,5312646.01,129.5032002
578961.48,5312576.12,127.4611399
578952.34,5312415.77,151.0515087
