X,Y,Z
578381.34,5312991.22,456.6
578341.57,5312939.16,453.2
578530.24,5312867.96,458.6
578308.99,5312976.56,457.5
578308.8,5313064.72,459.8
578305.95,5313142.93,468.4
578381.02,5313097.81,457.6
578487.87,5313049.69,457
578497.57,5312962.84,458.3
578613.54,5312810.67,450.4
578543.01,5312612.32,434.7
578639.98,5312535.72,437.6
578724.57,5312460.12,438
578811.6,5312639.61,417.5
578884.23,5312639.82,422.3
578881.71,5312564.27,408.1
578818.64,5312195.99,398.7
578994.88,5312642.66,425.4
578960.08,5312572.77,418.7
