X,Y,Z
578382.74,5312994.57,445.6
578342.96,5312942.52,442.2
578531.63,5312871.31,448.6
578310.38,5312979.91,446.5
578310.2,5313068.07,448.8
578307.34,5313146.28,460.4
578382.41,5313101.16,447.1
578489.26,5313053.04,447
578498.97,5312966.19,449.8
578614.94,5312841.02,443.4
578544.4,5312615.67,428.7
578641.38,5312539.07,429.6
578725.96,5312463.47,432
578812.99,5312642.96,409.5
578885.63,5312643.16,414.3
578883.11,5312567.62,401.1
578855.3,5312415.38,395.6
578490.48,5312440.47,489.6
578820.03,5312199.33,389.7
578996.28,5312646.01,417.4
578961.48,5312576.12,411.7
578952,5312415.77,491.6
