X,Y,Z
578382.74,5312994.57,139.1648888
578342.96,5312942.52,138.1286193
578531.63,5312871.31,139.774459
578310.38,5312979.91,139.4391954
578310.2,5313068.07,140.1402012
578307.34,5313146.28,142.7613532
578382.41,5313101.16,139.4696739
578489.26,5313053.04,139.2868028
578498.97,5312966.19,139.6830235
578614.94,5312841.02,137.275221
578544.4,5312615.67,132.4900945
578641.38,5312539.07,133.3739714
578725.96,5312463.47,133.4958854
578812.99,5312642.96,127.2477903
578885.63,5312643.16,128.7107589
578883.11,5312567.62,124.3828101
578855.3,5312415.38,123.3160622
578490.48,5312440.47,152.1182566
578820.03,5312199.33,121.5178299
578996.28,5312646.01,129.6555928
578961.48,5312576.12,127.6135325
578952,5312415.77,153.032612
